Locus_Tag,Recovery_6hours_vs_naive_ratio,Recovery_6hours_vs_naive_FDR,Recovery_6hours_vs_naive_significance,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_significance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_6hours_significance,Recovery_15hours_vs_initial_encounter_significance,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_RefSeq,Genbank_RefSeq_protein_id,Genbank_RefSeq_product,Genbank_RefSeq_EC,Genbank,Genbank_protein_id,Genbank_product,Genbank_EC,Prokka_id,Prokka_product,Prokka_gene_name,Prokka_EC,PATRIC_id,PATRIC_product,PATRIC_EC,PATRIC_class,Seed_id,Seed_product,Seed_EC,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Uniprot_id,Uniprot_product,Uniprot_gene_name,Uniprot_EC,Uniprot_GO_IDs,Uniprot_GO_names,Uniprot_subcellular_location ,Uniprot_Transmembrane,Locus_Tag,,Locus Tag,Recovery15_vs_initial_ratio,Recovery15_vs_initial_FDR,Recovery15_vs_initial_call
APY09_01330,1.53,2.29E-07,increased,2.20,4.85E-10,increased,-0.40,8.55E-01,no,1.80,6.48E-09,recovery,-0.24,5.62E-01,no,1.96,1.93E-09,recovery,APY09_01330,forward,DNA-binding response regulator,,K: Transcription ,,APY09_RS01320,GI:736444184,WP_034466075.1,DNA-binding response regulator,,GI:960431134,KSW13035.1,two-component system response regulator,,XH001_00270,putative transcriptional regulatory protein TcrX,tcrX_1,,fig|1660.4.peg.274,,,,SEED:fig|1660.5.peg.258,"Response regulator receiver:Transcriptional regulatory protein, C- terminal",,Response regulator receiver domain protein,,,,,,,,K: Transcription ,,A0A0V8RY97,Two-component system response regulator,,,GO:0000160; GO:0003677; GO:0006355,"DNA binding [GO:0003677]; phosphorelay signal transduction system [GO:0000160]; regulation of transcription, DNA-templated [GO:0006355]",,,APY09_01330,,APY09_01330,1.959521107,1.93E-09,up
APY09_01335,1.29,4.07E-05,increased,2.17,3.69E-08,increased,-0.05,9.97E-01,no,2.12,3.94E-08,recovery,0.09,8.92E-01,no,2.26,1.62E-08,recovery,APY09_01335,forward,sensor histidine kinase,,T: Signal Transduction ,,APY09_RS01325,GI:983397283,WP_060565824.1,sensor histidine kinase,,GI:960431135,KSW13036.1,histidine kinase,,XH001_00271,putative sensor histidine kinase TcrY,tcrY_1,2.7.13.3,fig|1660.4.peg.275,,,,SEED:fig|1660.5.peg.259,FIG00356489: hypothetical protein,,PhoQ Sensor,,,,,,,,T: Signal Transduction ,,A0A0V8RY81,Histidine kinase,,,GO:0000155; GO:0005524; GO:0005886; GO:0016021,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; phosphorelay sensor kinase activity [GO:0000155],,"TRANSMEM 20..45;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 181..201;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_01335,,APY09_01335,2.263061094,1.62E-08,up
APY09_01340,1.23,6.79E-08,increased,1.02,5.56E-07,increased,0.24,9.97E-01,no,1.26,1.94E-08,recovery,0.58,2.34E-02,hour15,1.60,5.35E-10,recovery,APY09_01340,forward,hypothetical protein,,S: Function Unknown ,,APY09_RS01330,GI:983397284,WP_060565825.1,hypothetical protein,,GI:960431136,KSW13037.1,hypothetical protein,,XH001_00272,hypothetical protein,,,fig|1660.4.peg.276,,,,SEED:fig|1660.5.peg.260,FIG00818717: hypothetical protein,,"Psort location Cytoplasmic, score",,,,,,,,S: Function Unknown ,,A0A0V8RYA7,Uncharacterized protein,,,,,,,APY09_01340,,APY09_01340,1.597568955,5.35E-10,up
APY09_01345,0.99,1.60E-03,increased,1.66,9.00E-06,increased,0.36,9.97E-01,no,2.02,5.13E-07,recovery,0.67,1.13E-01,no,2.33,7.03E-08,recovery,APY09_01345,forward,hypothetical,,S: Function Unknown ,,APY09_RS01335,GI:736443451,WP_034465355.1,type VII secretion protein,,GI:960431137,KSW13038.1,type VII secretion protein,,XH001_00273,Proteins of 100 residues with WXG,,,fig|1660.4.peg.277,,,,SEED:fig|1660.5.peg.261,Uncharacterized protein conserved in bacteria,,Belongs to the WXG100 family,,,,,,,,S: Function Unknown ,,A0A0V8RYC8,ESAT-6-like protein,,,,,,,APY09_01345,,APY09_01345,2.327160185,7.03E-08,up
APY09_01350,0.30,2.23E-01,no,0.46,5.25E-02,no,0.22,9.97E-01,no,0.68,5.52E-03,recovery,0.27,5.64E-01,no,0.73,3.07E-03,recovery,APY09_01350,reverse,molecular chaperone GroEL,K04077,"O: Post-translational modification, protein turnover, chaperone functions ",,APY09_RS01340,GI:736443449,WP_034465353.1,molecular chaperone GroEL,,GI:960431138,KSW13039.1,molecular chaperone GroEL,,XH001_00274,60 kDa chaperonin 1,groL1,,fig|1660.4.peg.278,Heat shock protein 60 family chaperone GroEL,,Protein Processing,SEED:fig|1660.5.peg.262,Heat shock protein 60 family chaperone GroEL,,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,groL,,K04077,"ko03018,ko04212,ko04940,ko05134,ko05152,",,,,"O: Post-translational modification, protein turnover, chaperone functions ","GO:0001666,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006457,GO:0006458,GO:0006950,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0016020,GO:0016465,GO:0022610,GO:0030112,GO:0030312,GO:0030313,GO:0031975,GO:0032991,GO:0036293,GO:0040007,GO:0042026,GO:0042603,GO:0043388,GO:0044093,GO:0044183,GO:0044403,GO:0044406,GO:0044419,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0050896,GO:0051082,GO:0051098,GO:0051099,GO:0051101,GO:0051704,GO:0061077,GO:0065007,GO:0065009,GO:0070482,GO:0071944,GO:0101031,GO:1990220,GO:2000677,GO:2000679",A0A0V8RY89,60 kDa chaperonin (GroEL protein) (Protein Cpn60),groEL,,GO:0005524; GO:0005737; GO:0042026; GO:0051082,cytoplasm [GO:0005737]; ATP binding [GO:0005524]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00600}.,,APY09_01350,,APY09_01350,0.732637456,0.003068814,up
APY09_01355,1.41,2.23E-04,increased,1.95,6.22E-06,increased,0.28,9.97E-01,no,2.22,8.24E-07,recovery,0.77,8.50E-02,no,2.71,3.73E-08,recovery,APY09_01355,,,,S: Function Unknown ,,,,,,,,,,,,,,,fig|1660.4.peg.280,,,,,,,,,,,,,,,,,A0A0V8RYA1,Uncharacterized protein,,,,,,,APY09_01355,,APY09_01355,2.711922553,3.73E-08,up
APY09_01360,0.71,5.35E-03,increased,0.98,2.60E-04,increased,-0.22,9.97E-01,no,0.75,2.50E-03,recovery,-0.54,1.51E-01,no,0.43,6.87E-02,no,APY09_01360,reverse,lytR family transcriptional regulator,,S: Function Unknown ,,APY09_RS01345,GI:983397285,WP_060565826.1,LytR family transcriptional regulator,,GI:960431140,KSW13041.1,LytR family transcriptional regulator,,XH001_00276,hypothetical protein,,,fig|1660.4.peg.281,,,,SEED:fig|1660.5.peg.264,FIG00356226: hypothetical protein,,LytR cell envelope-related transcriptional attenuator,,,,,,,,S: Function Unknown ,,A0A0V8RYC5,LytR family transcriptional regulator,,,,,,,APY09_01360,,APY09_01360,0.430169448,0.068664524,unchanged
APY09_01365,0.03,8.02E-01,no,0.07,5.49E-01,no,-0.02,9.97E-01,no,0.05,6.80E-01,no,-0.08,7.44E-01,no,-0.01,9.44E-01,no,APY09_01365,forward,uracil-DNA glycosylase,K03648,L: Replication and repair ,,APY09_RS01350,GI:736443176,WP_034465090.1,uracil-DNA glycosylase,,GI:960431141,KSW13042.1,uracil-DNA glycosylase,,XH001_00277,Uracil-DNA glycosylase,ung,3.2.2.27,fig|1660.4.peg.282,,,,SEED:fig|1660.5.peg.265,"Uracil-DNA glycosylase, family 1",,Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine,ung,3.2.2.27,K03648,"ko03410,ko05340,",,,,L: Replication and repair ,"GO:0003674,GO:0003824,GO:0004844,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006285,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0033554,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0097506,GO:0097510,GO:0140097,GO:1901360",A0A0V8RYM2,Uracil-DNA glycosylase (UDG) (EC 3.2.2.27),ung,3.2.2.27,GO:0004844; GO:0005737; GO:0006284,cytoplasm [GO:0005737]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair [GO:0006284],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00148}.,,APY09_01365,,APY09_01365,-0.009824068,0.94390746,unchanged
APY09_01375,0.13,5.64E-01,no,-0.17,4.30E-01,no,-0.05,9.97E-01,no,-0.23,2.93E-01,no,-0.16,7.10E-01,no,-0.33,1.19E-01,no,APY09_01375,reverse,hypothetical protein,,"O: Post-translational modification, protein turnover, chaperone functions ",,APY09_RS01360,GI:983397286,WP_060565827.1,hypothetical protein,,GI:960431142,KSW13043.1,thioredoxin,,XH001_00279,hypothetical protein,,,fig|1660.4.peg.283,,,,SEED:fig|1660.5.peg.266,DSBA oxidoreductase,,Required for disulfide bond formation in some periplasmic proteins. Acts by transferring its disulfide bond to other proteins and is reduced in the process,,,,,,,,"O: Post-translational modification, protein turnover, chaperone functions ",,A0A0V8RYD7,Thioredoxin,,,GO:0016021,integral component of membrane [GO:0016021],,"TRANSMEM 32..54;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_01375,,APY09_01375,-0.333864868,0.119298837,unchanged
APY09_01380,0.09,6.12E-01,no,-0.22,1.96E-01,no,-0.07,9.97E-01,no,-0.28,8.62E-02,no,-0.16,5.90E-01,no,-0.38,2.08E-02,no,APY09_01380,reverse,serine/threonine protein kinase,,K: Transcription L: Replication and repair T: Signal Transduction ,,APY09_RS01365,GI:983397287,WP_060565828.1,serine/threonine protein kinase,,GI:960431143,KSW13044.1,protein kinase,,XH001_00280,Serine/threonine-protein kinase AfsK,afsK,2.7.11.1,fig|1660.4.peg.284,,,,SEED:fig|1660.5.peg.267,putative serine/threonine protein kinase,,Kinase domain protein,,,,,,,,K: Transcription L: Replication and repair T: Signal Transduction ,,A0A0V8RYC0,Protein kinase,,,GO:0004672; GO:0005524; GO:0016021,integral component of membrane [GO:0016021]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672],,"TRANSMEM 471..490;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 519..540;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 576..596;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 617..638;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_01380,,APY09_01380,-0.380645381,0.020809085,unchanged
APY09_01385,1.47,5.10E-08,increased,1.74,1.37E-09,increased,0.06,9.97E-01,no,1.80,5.34E-10,recovery,-0.06,9.09E-01,no,1.68,1.32E-09,recovery,APY09_01385,forward,sugar ABC transporter ATP-binding protein,K10112,P: Inorganic ion transport and metabolism ,sugar,APY09_RS01370,GI:489892340,WP_003795790.1,sugar ABC transporter ATP-binding protein,,GI:960431144,KSW13045.1,sugar ABC transporter ATP-binding protein,,XH001_00281,Trehalose import ATP-binding protein SugC,sugC,3.6.3.-,fig|1660.4.peg.285,,,,SEED:fig|1660.5.peg.268,SN-glycerol-3-phosphate transport ATP-binding protein UgpC (TC 3.A.1.1.3),,Belongs to the ABC transporter superfamily,ugpC,,K10112,"ko02010,","M00194,M00196,M00197,M00200,M00201,M00206,M00207,M00491,M00602,M00605,M00606",,,P: Inorganic ion transport and metabolism ,,A0A0V8RYC3,Sugar ABC transporter ATP-binding protein,,,GO:0005524; GO:0016887,ATP binding [GO:0005524]; ATPase activity [GO:0016887],,,APY09_01385,,APY09_01385,1.681334526,1.32E-09,up
APY09_01390,0.54,6.08E-03,increased,1.00,8.15E-06,increased,-0.20,9.97E-01,no,0.80,9.90E-05,recovery,-0.23,5.09E-01,no,0.76,1.66E-04,recovery,APY09_01390,forward,lipopolysaccharide kinase family,,T: Signal Transduction ,,APY09_RS01375,GI:983397890,WP_060566403.1,lipopolysaccharide kinase,,GI:960431777,KSW13678.1,lipopolysaccharide kinase,,XH001_00282,Lipopolysaccharide kinase (Kdo/WaaP) family protein,,,fig|1660.4.peg.286,,,,SEED:fig|1660.5.peg.269,Chromosome segregation ATPases,,Domain of unknown function (DUF4032),,1.6.5.3,K00336,"ko00190,ko01100,",M00144,R11945,RC00061,T: Signal Transduction ,,A0A0V8S096,Lipopolysaccharide kinase,,,GO:0016301,kinase activity [GO:0016301],,,APY09_01390,,APY09_01390,0.764631831,0.000166418,up
APY09_01395,0.37,6.79E-03,no,0.46,1.08E-03,no,-0.12,9.97E-01,no,0.33,1.13E-02,no,-0.08,7.77E-01,no,0.37,4.87E-03,no,APY09_01395,forward,glycerophosphoryl diester phosphodiesterase,K01126,C: Energy production and conversion ,,APY09_RS01380,GI:983397288,WP_060565829.1,glycerophosphoryl diester phosphodiesterase,,GI:960431145,KSW13046.1,glycerophosphodiester phosphodiesterase,,XH001_00283,Glycerophosphoryl diester phosphodiesterase,ugpQ_1,3.1.4.46,fig|1660.4.peg.287,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),3.1.4.46,"Stress Response, Defense, Virulence",SEED:fig|1660.5.peg.270,Glycerophosphoryl diester phosphodiesterase (EC 3.1.4.46),3.1.4.46,glycerophosphodiester phosphodiesterase,ugpQ,3.1.4.46,K01126,"ko00564,",,"R01030,R01470","RC00017,RC00425",C: Energy production and conversion ,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0008081,GO:0008889,GO:0016787,GO:0016788,GO:0042578,GO:0043167,GO:0043169,GO:0046872,GO:0047389,GO:0047395",A0A0V8RY91,Glycerophosphodiester phosphodiesterase,,,GO:0006629; GO:0008081,phosphoric diester hydrolase activity [GO:0008081]; lipid metabolic process [GO:0006629],,,APY09_01395,,APY09_01395,0.374000537,0.004870269,unchanged
APY09_01400,0.44,1.50E-02,no,0.38,3.58E-02,no,0.07,9.97E-01,no,0.44,1.35E-02,no,-0.10,8.26E-01,no,0.28,1.09E-01,no,APY09_01400,reverse,hypothetical protein,,S: Function Unknown ,,APY09_RS01385,GI:983397289,WP_060565830.1,hypothetical protein,,GI:960431146,KSW13047.1,hypothetical protein,,XH001_00284,hypothetical protein,,,fig|1660.4.peg.288,,,,SEED:fig|1660.5.peg.271,FIG00355841: hypothetical protein,,,,,,,,,,,,A0A0V8RYD6,Uncharacterized protein,,,,,,,APY09_01400,,APY09_01400,0.278663594,0.109298182,unchanged
APY09_01405,-0.11,7.96E-01,no,0.53,1.69E-01,no,0.19,9.97E-01,no,0.72,6.17E-02,no,0.12,9.04E-01,no,0.64,1.03E-01,no,APY09_01405,reverse,hypothetical protein,,T: Signal Transduction ,,APY09_RS01390,GI:983397290,WP_060565831.1,hypothetical protein,,GI:960431147,KSW13048.1,hypothetical protein,,,,,,fig|1660.4.peg.289,,,,SEED:fig|1660.5.peg.272,hypothetical protein,,"Psort location CytoplasmicMembrane, score",,,,,,,,T: Signal Transduction ,,A0A0V8RYG1,Uncharacterized protein,,,,,,,APY09_01405,,APY09_01405,0.644042822,0.102631917,unchanged
APY09_01410,0.05,8.20E-01,no,0.13,5.47E-01,no,0.05,9.97E-01,no,0.18,3.94E-01,no,-0.06,9.20E-01,no,0.07,7.49E-01,no,APY09_01410,forward,flotillin,K07192,S: Function Unknown ,,APY09_RS01395,GI:983397891,WP_060566404.1,flotillin,,GI:960431778,KSW13679.1,flotillin,,XH001_00285,Inner membrane protein YqiK,yqiK,,fig|1660.4.peg.290,,,,SEED:fig|1660.5.peg.273,Inner membrane protein YqiK,,SPFH Band 7 PHB domain protein,floL,,K07192,"ko04910,",,,,S: Function Unknown ,,A0A0V8S025,Flotillin,,,,,,,APY09_01410,,APY09_01410,0.071982675,0.749249477,unchanged
APY09_01415,0.63,3.54E-02,increased,0.21,4.84E-01,no,-0.13,9.97E-01,no,0.08,7.97E-01,no,-0.33,5.64E-01,no,-0.12,7.06E-01,no,APY09_01415,reverse,class II fructose-bisphosphate aldolase,K01624,G: Carbohydrate metabolism and transport ,,APY09_RS01400,GI:983397291,WP_060565832.1,class II fructose-bisphosphate aldolase,,GI:960431148,KSW13049.1,fructose-bisphosphate aldolase,,XH001_00286,Fructose-bisphosphate aldolase,fba_1,4.1.2.13,fig|1660.4.peg.291,Fructose-bisphosphate aldolase class II (EC 4.1.2.13),4.1.2.13,Energy,SEED:fig|1660.5.peg.274,Fructose-bisphosphate aldolase class II (EC 4.1.2.13),4.1.2.13,fructose-bisphosphate aldolase,fbaA,4.1.2.13,K01624,"ko00010,ko00030,ko00051,ko00680,ko00710,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,","M00001,M00003,M00165,M00167,M00344,M00345","R01068,R01070,R01829,R02568","RC00438,RC00439,RC00603,RC00604",G: Carbohydrate metabolism and transport ,"GO:0003674,GO:0003824,GO:0004332,GO:0005488,GO:0005515,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0005996,GO:0006006,GO:0006082,GO:0006090,GO:0006091,GO:0006094,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008270,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016051,GO:0016052,GO:0016053,GO:0016310,GO:0016829,GO:0016830,GO:0016832,GO:0017144,GO:0018130,GO:0019318,GO:0019319,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0030312,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042802,GO:0042866,GO:0043167,GO:0043169,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046364,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046872,GO:0046914,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",A0A0V8RY95,Fructose-bisphosphate aldolase (FBP aldolase) (EC 4.1.2.13),,4.1.2.13,GO:0004332; GO:0006096; GO:0008270,fructose-bisphosphate aldolase activity [GO:0004332]; zinc ion binding [GO:0008270]; glycolytic process [GO:0006096],,,APY09_01415,,APY09_01415,-0.118474604,0.706279393,unchanged
APY09_01420,-0.07,8.91E-01,no,-0.17,7.26E-01,no,-0.10,9.97E-01,no,-0.28,5.62E-01,no,-0.12,9.20E-01,no,-0.30,5.36E-01,no,APY09_01420,reverse,It is APY09_01420 or APY09_00275,K12373,G: Carbohydrate metabolism and transport ,,APY09_RS01405,GI:983397292,WP_060565833.1,glycosyl hydrolase family 20,,GI:960431149,KSW13050.1,glycosyl hydrolase family 20,,XH001_00287,Beta-hexosaminidase,exo I_2,3.2.1.52,fig|1660.4.peg.292,,,,SEED:fig|1660.5.peg.275,Beta-hexosaminidase (EC 3.2.1.52),3.2.1.52,"Glycosyl hydrolase family 20, catalytic domain",,3.2.1.52,K12373,"ko00511,ko00513,ko00520,ko00531,ko00603,ko00604,ko01100,ko04142,",M00079,"R00022,R06004,R11316",RC00049,G: Carbohydrate metabolism and transport ,,A0A0V8RYM8,Glycosyl hydrolase family 20,,,GO:0004563; GO:0005975; GO:0016021,integral component of membrane [GO:0016021]; beta-N-acetylhexosaminidase activity [GO:0004563]; carbohydrate metabolic process [GO:0005975],,"TRANSMEM 21..39;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_01420,,APY09_01420,-0.296456692,0.535592786,unchanged
APY09_01425,-2.07,1.59E-03,decreased,-0.67,3.08E-01,no,0.03,9.97E-01,no,-0.64,3.38E-01,no,0.09,9.73E-01,no,-0.59,3.89E-01,no,APY09_01425,reverse,RNA methyltransferase,K03218,J: Translation ,,APY09_RS01410,GI:983397293,WP_060565834.1,RNA methyltransferase,,GI:960431150,KSW13051.1,RNA methyltransferase,,XH001_00288,tRNA (guanosine(18)-2'-O)-methyltransferase,trmH,2.1.1.34,fig|1660.4.peg.293,,,,SEED:fig|1660.5.peg.276,SpoU rRNA methylase family protein,,RNA methyltransferase TrmH family,spoU,2.1.1.185,K03218,,,,,J: Translation ,,A0A0V8RYB6,RNA methyltransferase,,,GO:0003723; GO:0006396; GO:0008173,RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]; RNA processing [GO:0006396],,,APY09_01425,,APY09_01425,-0.592627561,0.388693659,unchanged
APY09_01430,0.06,8.70E-01,no,0.65,3.56E-02,increased,-0.17,9.97E-01,no,0.48,1.07E-01,no,-0.30,6.29E-01,no,0.35,2.44E-01,no,APY09_01430,forward,HAD family hydrolase,K02566,G: Carbohydrate metabolism and transport ,,APY09_RS01415,GI:983397294,WP_060565835.1,HAD family hydrolase,,GI:960431151,KSW13052.1,HAD family hydrolase,,XH001_00289,Ribonucleotide monophosphatase NagD,nagD,3.1.3.5,fig|1660.4.peg.294,,,,SEED:fig|1660.5.peg.277,"Hypothetical NagD-like phosphatase, Actinobacterial subfamily",,Belongs to the HAD-like hydrolase superfamily,nagD,,K02566,,,,,G: Carbohydrate metabolism and transport ,"GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006213,GO:0006220,GO:0006244,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008252,GO:0008253,GO:0009056,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009123,GO:0009125,GO:0009129,GO:0009131,GO:0009158,GO:0009161,GO:0009164,GO:0009166,GO:0009173,GO:0009175,GO:0009218,GO:0009222,GO:0009259,GO:0009261,GO:0009987,GO:0016311,GO:0016787,GO:0016788,GO:0016791,GO:0018130,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0034656,GO:0042454,GO:0042578,GO:0043167,GO:0043169,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046049,GO:0046050,GO:0046131,GO:0046133,GO:0046135,GO:0046434,GO:0046483,GO:0046700,GO:0046872,GO:0055086,GO:0071704,GO:0072527,GO:0072529,GO:1901135,GO:1901136,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901657,GO:1901658",A0A0V8RY99,HAD family hydrolase,,,GO:0016787,hydrolase activity [GO:0016787],,,APY09_01430,,APY09_01430,0.351080931,0.244435764,unchanged
APY09_01435,0.30,3.13E-02,no,0.29,3.99E-02,no,-0.17,9.97E-01,no,0.11,4.27E-01,no,-0.33,1.20E-01,no,-0.04,7.64E-01,no,APY09_01435,forward,orotate phosphoribosyltransferase,K00762,F: Nucleotide metabolism and transport ,,APY09_RS01420,GI:983397295,WP_060565836.1,orotate phosphoribosyltransferase,,GI:960431152,KSW13053.1,orotate phosphoribosyltransferase,,XH001_00290,Orotate phosphoribosyltransferase,pyrE,2.4.2.10,fig|1660.4.peg.295,Orotate phosphoribosyltransferase (EC 2.4.2.10),2.4.2.10,Metabolism,SEED:fig|1660.5.peg.278,Orotate phosphoribosyltransferase (EC 2.4.2.10),2.4.2.10,"Catalyzes the transfer of a ribosyl phosphate group from 5-phosphoribose 1-diphosphate to orotate, leading to the formation of orotidine monophosphate (OMP)",pyrE,2.4.2.10,K00762,"ko00240,ko01100,",M00051,R01870,RC00611,F: Nucleotide metabolism and transport ,,A0A0V8RYB8,Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10),pyrE,2.4.2.10,GO:0000287; GO:0004588; GO:0009116; GO:0044205,magnesium ion binding [GO:0000287]; orotate phosphoribosyltransferase activity [GO:0004588]; 'de novo' UMP biosynthetic process [GO:0044205]; nucleoside metabolic process [GO:0009116],,,APY09_01435,,APY09_01435,-0.044436033,0.763597378,unchanged
APY09_01440,-1.34,1.29E-03,decreased,-0.68,7.07E-02,no,-0.01,9.97E-01,no,-0.69,6.65E-02,no,-0.13,8.99E-01,no,-0.82,3.54E-02,initial,APY09_01440,reverse,short-chain dehydrogenase,K07124,S: Function Unknown ,,APY09_RS01425,GI:983397296,WP_060565837.1,short-chain dehydrogenase,,GI:960431153,KSW13054.1,short-chain dehydrogenase,,XH001_00291,Putative ketoacyl reductase,actIII,1.3.1.-,fig|1660.4.peg.296,,,,SEED:fig|1660.5.peg.279,short chain dehydrogenase,,Belongs to the short-chain dehydrogenases reductases (SDR) family,,,K07124,,,,,S: Function Unknown ,,A0A0V8RYE6,Short-chain dehydrogenase,,,,,,,APY09_01440,,APY09_01440,-0.818414857,0.035371616,down
