Locus_Tag,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_siignificance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_recovery_6hours_significance,Recovery_15hours_vs_initial_encounter_ratio,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,min,max,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_protein_id,Genbank_product,PATRIC_id,PATRIC_product,PATRIC_class,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Locus_Tag
TM7x_00055,-1.94,1.48E-07,initial,-0.09,9.18E-01,no,-2.03,1.01E-07,initial,0.01,9.95E-01,no,-1.94,1.55E-07,initial,TM7x_00055,12277,14787,reverse,Type IV secretion virB6,K03201,U: Intracellular trafficing and secretion,other,TM7x001_00012,AJA06678.1,hypothetical protein,fig|1476577.3.peg.11,hypothetical protein,,protein secretion by the type IV secretion system,,,K03201,"ko03070,map03070",M00333,,,U: Intracellular trafficing and secretion,,TM7x_00055
TM7x_00060,0.26,1.02E-01,no,0.18,3.56E-01,no,0.45,1.07E-02,no,0.08,7.05E-01,no,0.34,4.10E-02,no,TM7x_00060,14861,17449,reverse,Type IV secretion virB6,K03201,U: Intracellular trafficing and secretion,other,TM7x001_00013,AJA06679.1,hypothetical protein,fig|1476577.3.peg.12,hypothetical protein,,protein secretion by the type IV secretion system,,,K03201,"ko03070,map03070",M00333,,,U: Intracellular trafficing and secretion,,TM7x_00060
TM7x_00065,-2.92,5.62E-10,initial,0.30,1.26E-01,no,-2.62,1.75E-09,initial,0.19,2.23E-01,no,-2.73,1.12E-09,initial,TM7x_00065,17499,18374,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00014,AJA06680.1,hypothetical protein,fig|1476577.3.peg.13,hypothetical protein,,,,,,,,,,,,TM7x_00065
TM7x_00075,-0.71,1.92E-01,no,-0.08,9.98E-01,no,-0.79,1.47E-01,no,-0.48,3.94E-01,no,-1.19,3.96E-02,initial,TM7x_00075,18715,19086,forward,Type IV secretion effector ptx like protein A,,S: Function Unknown,,TM7x001_00016,AJA06681.1,hypothetical protein,fig|1476577.3.peg.14,hypothetical protein,,,,,,,,,,,,TM7x_00075
TM7x_00080,-0.52,1.75E-02,initial,0.09,9.18E-01,no,-0.43,4.20E-02,no,-0.12,6.19E-01,no,-0.64,5.79E-03,initial,TM7x_00080,19086,19505,forward,Type IV secretion effector ptx like protein B,,S: Function Unknown,,TM7x001_00017,AJA06682.1,hypothetical protein,fig|1476577.3.peg.15,membrane protein,,,,,,,,,,,,TM7x_00080
TM7x_00085,-0.67,1.28E-02,initial,0.14,8.28E-01,no,-0.53,3.75E-02,initial,-0.04,9.49E-01,no,-0.72,9.05E-03,initial,TM7x_00085,19507,19788,forward,Type IV secretion effector ptx like protein C,,S: Function Unknown,,TM7x001_00018,AJA06267.1,membrane protein,fig|1476577.3.peg.16,membrane protein,,,,,,,,,,,,TM7x_00085
TM7x_00090,-0.22,1.62E-01,no,0.06,9.54E-01,no,-0.17,2.92E-01,no,-0.21,1.57E-01,no,-0.44,1.39E-02,no,TM7x_00090,19790,20170,forward,Type IV secretion effector ptx like protein D,,S: Function Unknown,,TM7x001_00019,AJA06268.1,membrane protein,fig|1476577.3.peg.17,membrane protein,,,,,,,,,,,,TM7x_00090
TM7x_00095,0.14,2.98E-01,no,0.14,4.12E-01,no,0.28,4.45E-02,no,-0.15,2.24E-01,no,-0.01,9.40E-01,no,TM7x_00095,20218,20559,forward,Type IV secretion effector ptx like protein E,,S: Function Unknown,,TM7x001_00020,AJA06269.1,membrane protein,fig|1476577.3.peg.18,membrane protein,,,,,,,,,,,,TM7x_00095
TM7x_00100,0.35,3.22E-01,no,0.12,9.63E-01,no,0.47,1.89E-01,no,-0.14,7.84E-01,no,0.21,5.58E-01,no,TM7x_00100,20630,21010,forward,Type IV secretion effector ptx like protein F,,S: Function Unknown,,TM7x001_00021,AJA06270.1,membrane protein,fig|1476577.3.peg.19,hypothetical protein,,,,,,,,,,,,TM7x_00100
TM7x_00105,-0.34,3.07E-02,no,0.05,9.73E-01,no,-0.29,5.92E-02,no,-0.01,9.94E-01,no,-0.35,2.78E-02,no,TM7x_00105,21109,21612,reverse,molecular chaperone (small heat shock protein),K13993,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00022,AJA06271.1,heat-shock protein Hsp20,fig|1476577.3.peg.20,hypothetical protein,,Belongs to the small heat shock protein (HSP20) family,hspA-2,,K13993,"ko04141,map04141",,,,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x_00105
TM7x_00110,-1.42,8.60E-07,initial,-0.09,8.08E-01,no,-1.51,5.25E-07,initial,0.01,9.77E-01,no,-1.41,9.58E-07,initial,TM7x_00110,21888,22379,forward,"Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy",,S: Function Unknown,,TM7x001_00023,AJA06683.1,hypothetical protein,fig|1476577.3.peg.21,"Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy",,competence protein,comF,,,,,,,S: Function Unknown,"GO:0006139,GO:0006259,GO:0006308,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009987,GO:0015976,GO:0019439,GO:0034641,GO:0034655,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044260,GO:0044265,GO:0044270,GO:0046483,GO:0046700,GO:0071704,GO:0090304,GO:1901360,GO:1901361,GO:1901575",TM7x_00110
TM7x_00115,-1.35,1.93E-07,initial,-0.01,9.98E-01,no,-1.36,1.69E-07,initial,0.00,9.97E-01,no,-1.34,2.00E-07,initial,TM7x_00115,22374,22826,reverse,50S rRNA methyltransferase,K00783,J: Translation,,TM7x001_00024,AJA06272.1,50S rRNA methyltransferase,fig|1476577.3.peg.22,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177),,Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA,rlmH,2.1.1.177,K00783,,,,,J: Translation,"GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0042802,GO:0042803,GO:0043021,GO:0043022,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0044877,GO:0046483,GO:0046983,GO:0070037,GO:0070038,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360",TM7x_00115
TM7x_00130,0.48,2.64E-02,no,0.15,6.78E-01,no,0.62,6.40E-03,recovery,-0.02,9.77E-01,no,0.46,3.14E-02,no,TM7x_00130,23121,23639,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00027,AJA06684.1,hypothetical protein,fig|1476577.3.peg.23,hypothetical protein,,,,,,,,,,,,TM7x_00130
TM7x_00135,0.34,8.23E-02,no,0.03,9.98E-01,no,0.37,6.24E-02,no,0.03,9.51E-01,no,0.37,6.13E-02,no,TM7x_00135,23675,24082,reverse,Type IV secretion virB2,K03197,U: Intracellular trafficing and secretion,other,TM7x001_00028,AJA06273.1,membrane protein,fig|1476577.3.peg.24,membrane protein,,,,,,,,,,,,TM7x_00135
TM7x_00150,-1.46,1.28E-06,initial,-0.08,9.17E-01,no,-1.54,8.07E-07,initial,-0.23,1.37E-01,no,-1.69,3.91E-07,initial,TM7x_00150,24482,24823,forward,hypothetical protein,,S: Function Unknown,,TM7x001_00031,AJA06685.1,hypothetical protein,fig|1476577.3.peg.25,hypothetical protein,,,,,,,,,,,,TM7x_00150
TM7x_00155,0.13,1.60E-01,no,0.08,6.20E-01,no,0.21,3.14E-02,no,0.06,6.56E-01,no,0.19,5.25E-02,no,TM7x_00155,24825,27392,reverse,Valyl-tRNA synthetase (EC 6.1.1.9),K01873,J: Translation,,TM7x001_00032,AJA06274.1,valyl-tRNA synthetase,fig|1476577.3.peg.26,Valyl-tRNA synthetase (EC 6.1.1.9),Protein Processing,"amino acids such as threonine, to avoid such errors, it has a posttransfer editing activity that hydrolyzes mischarged Thr-tRNA(Val) in a tRNA-dependent manner",valS,6.1.1.9,K01873,"ko00970,map00970","M00359,M00360",R03665,"RC00055,RC00523",J: Translation,"GO:0003674,GO:0003824,GO:0004812,GO:0004832,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006438,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0046483,GO:0071704,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576",TM7x_00155
TM7x_00160,-3.62,3.35E-02,initial,0.07,9.98E-01,no,-3.55,3.52E-02,initial,-0.04,9.97E-01,no,-3.65,3.15E-02,initial,TM7x_00160,27545,28471,reverse,methicillin resistance protein,,V: Defense mechanisms,,TM7x001_00033,AJA06275.1,methicillin resistance protein,fig|1476577.3.peg.27,tRNA-dependent lipid II--amino acid ligase,,FemAB family,,,,,,,,V: Defense mechanisms,,TM7x_00160
TM7x_00165,-0.63,5.04E-01,no,0.22,9.98E-01,no,-0.41,6.60E-01,no,0.15,9.51E-01,no,-0.48,6.13E-01,no,TM7x_00165,28490,29560,reverse,tRNA threonylcarbamoyladenosine biosynthesis protein Gcp,K01409,J: Translation,,TM7x001_00034,AJA06276.1,tRNA threonylcarbamoyladenosine biosynthesis protein Gcp,fig|1476577.3.peg.28,N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234),Cellular Processes,"Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction",tsaD,2.3.1.234,K01409,"ko02024,ko03060,ko03070,map02024,map03060,map03070",M00335,R10648,"RC00070,RC00416",J: Translation,"GO:0000287,GO:0000408,GO:0002949,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0005488,GO:0005506,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006396,GO:0006399,GO:0006400,GO:0006508,GO:0006725,GO:0006807,GO:0008033,GO:0008150,GO:0008152,GO:0008233,GO:0008237,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016787,GO:0019538,GO:0032991,GO:0034470,GO:0034641,GO:0034660,GO:0042802,GO:0043167,GO:0043169,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0070011,GO:0070525,GO:0071704,GO:0090304,GO:0140030,GO:0140032,GO:0140096,GO:1901360,GO:1901564",TM7x_00165
TM7x_00170,-1.11,1.34E-01,no,0.39,8.86E-01,no,-0.71,3.17E-01,no,0.32,7.84E-01,no,-0.79,2.78E-01,no,TM7x_00170,29593,30900,forward,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",K01928,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00035,AJA06277.1,"UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase",fig|1476577.3.peg.29,"UDP-N-acetylmuramoyl-dipeptide--2,6-diaminopimelate ligase (EC 6.3.2.13)",,Catalyzes the addition of meso-diaminopimelic acid to the nucleotide precursor UDP-N-acetylmuramoyl-L-alanyl-D-glutamate (UMAG) in the biosynthesis of bacterial cell-wall peptidoglycan,murE,"6.3.2.10,6.3.2.13,6.3.2.7",K01928,"ko00300,ko00550,ko01100,map00300,map00550,map01100",,"R02786,R02788,R04617","RC00064,RC00090,RC00141",M: Cell wall/membrane/envelop biogenesis,"GO:0000270,GO:0003674,GO:0003824,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016874,GO:0016879,GO:0016881,GO:0030203,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576",TM7x_00170
TM7x_00175,-0.33,5.71E-01,no,0.06,9.98E-01,no,-0.28,6.33E-01,no,-0.12,9.19E-01,no,-0.45,4.34E-01,no,TM7x_00175,30982,32259,reverse,hypothetical protein,K01775,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00036,AJA06686.1,hypothetical protein,fig|1476577.3.peg.30,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase (EC 6.3.2.10),,"Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein",murF,"5.1.1.1,6.3.2.10",K01775,"ko00300,ko00473,ko00550,ko01100,ko01502,map00300,map00473,map00550,map01100,map01502",,"R00401,R04573,R04617","RC00064,RC00141,RC00285",M: Cell wall/membrane/envelop biogenesis,,TM7x_00175
TM7x_00180,-1.38,2.73E-04,initial,0.14,9.17E-01,no,-1.24,5.50E-04,initial,0.38,1.57E-01,no,-1.00,2.49E-03,initial,TM7x_00180,32366,32632,forward,Co-chaperonin GroES,K04078,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00037,AJA06278.1,molecular chaperone GroES,fig|1476577.3.peg.31,Heat shock protein 10 kDa family chaperone GroES,Protein Processing,Binds to Cpn60 in the presence of Mg-ATP and suppresses the ATPase activity of the latter,groS,,K04078,,,,,"O: Post-translational modification, protein turnover, chaperone functions","GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008150,GO:0009266,GO:0009408,GO:0009628,GO:0009987,GO:0010033,GO:0016032,GO:0016465,GO:0019058,GO:0019068,GO:0032991,GO:0035966,GO:0042221,GO:0042802,GO:0043167,GO:0043169,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0046872,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051704,GO:0061077,GO:0101031,GO:1990220",TM7x_00180
TM7x_00185,-1.14,5.53E-06,initial,0.00,9.98E-01,no,-1.14,5.26E-06,initial,0.16,3.26E-01,no,-0.97,1.73E-05,initial,TM7x_00185,32652,34295,forward,molecular chaperone GroEL,K04077,"O: Post-translational modification, protein turnover, chaperone functions",,TM7x001_00038,AJA06279.1,molecular chaperone GroEL,fig|1476577.3.peg.32,Heat shock protein 60 kDa family chaperone GroEL,Protein Processing,Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions,groL,,K04077,"ko03018,ko04212,ko04940,ko05134,ko05152,map03018,map04212,map04940,map05134,map05152",,,,"O: Post-translational modification, protein turnover, chaperone functions","GO:0001817,GO:0001819,GO:0001871,GO:0002791,GO:0002793,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008150,GO:0009986,GO:0009987,GO:0016465,GO:0030246,GO:0030247,GO:0032677,GO:0032757,GO:0032879,GO:0032880,GO:0032991,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0044764,GO:0046812,GO:0048518,GO:0048522,GO:0050707,GO:0050708,GO:0050714,GO:0050715,GO:0050789,GO:0050794,GO:0051046,GO:0051047,GO:0051049,GO:0051050,GO:0051082,GO:0051222,GO:0051223,GO:0051239,GO:0051240,GO:0051704,GO:0061077,GO:0065007,GO:0070201,GO:0090087,GO:0098630,GO:0098743,GO:0101031,GO:1903530,GO:1903532,GO:1904951,GO:1990220,GO:2000482,GO:2000484,GO:2001065",TM7x_00185
TM7x_00190,1.22,8.64E-05,recovery,0.37,6.51E-02,no,1.59,9.05E-06,recovery,0.30,7.40E-02,no,1.52,1.48E-05,recovery,TM7x_00190,34359,34865,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00039,AJA06687.1,hypothetical protein,fig|1476577.3.peg.33,hypothetical protein,,,,,,,,,,,,TM7x_00190
TM7x_00195,-0.65,2.18E-03,initial,-0.18,4.85E-01,no,-0.83,3.99E-04,initial,-0.01,9.95E-01,no,-0.66,2.09E-03,initial,TM7x_00195,34943,35983,forward,pgi_pmi glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8],K15916,G: Carbohydrate metabolism and transport,,TM7x001_00040,AJA06688.1,hypothetical protein,fig|1476577.3.peg.34,"Glucose-6-phosphate isomerase, archaeal II (EC 5.3.1.9) / Mannose-6-phosphate isomerase, archaeal (EC 5.3.1.8)",,TIGRFAM bifunctional phosphoglucose phosphomannose isomerase,pgi,"5.3.1.8,5.3.1.9",K15916,"ko00010,ko00030,ko00051,ko00500,ko00520,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00030,map00051,map00500,map00520,map01100,map01110,map01120,map01130,map01200","M00001,M00004,M00114","R01819,R02739,R02740,R03321","RC00376,RC00563",G: Carbohydrate metabolism and transport,,TM7x_00195
TM7x_00200,-0.61,9.61E-04,initial,-0.07,9.17E-01,no,-0.68,4.23E-04,initial,-0.08,6.84E-01,no,-0.69,3.99E-04,initial,TM7x_00200,35980,37191,reverse,hypothetical protein,K02004,V: Defense mechanisms,peptide,TM7x001_00041,AJA06689.1,hypothetical protein,fig|1476577.3.peg.35,hypothetical protein,,"COG0577 ABC-type antimicrobial peptide transport system, permease component",yknZ,,K02004,,M00258,,,V: Defense mechanisms,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0042802,GO:0044464,GO:0071944",TM7x_00200
TM7x_00205,-0.90,3.50E-04,initial,0.07,9.54E-01,no,-0.83,5.84E-04,initial,0.08,7.45E-01,no,-0.81,6.96E-04,initial,TM7x_00205,37188,37970,reverse,macrolide ABC transporter ATP-binding protein,K02003,V: Defense mechanisms,other,TM7x001_00042,AJA06280.1,macrolide ABC transporter ATP-binding protein,fig|1476577.3.peg.36,"ABC-type antimicrobial peptide transport system, ATPase component",,ABC transporter,macB,,K02003,,M00258,,,V: Defense mechanisms,,TM7x_00205
TM7x_00215,-0.50,1.70E-02,no,-0.10,8.76E-01,no,-0.60,6.43E-03,initial,-0.12,6.00E-01,no,-0.62,5.48E-03,initial,TM7x_00215,38258,39169,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00044,AJA06690.1,hypothetical protein,fig|1476577.3.peg.37,hypothetical protein,,,,,,,,,,,,TM7x_00215
